GeneID,GSM4459880,GSM4459881,GSM4459882,GSM4459885,GSM4459886,GSM4459887
103504740,0,0,0,0,0,0
105379460,0.1385,0.1188,0.1352,0.09485,0.07195,0.05141
103504729,0.7132,1.36,0.7593,0.5581,0.247,0.4235
283820,31.85,29.18,32.62,28.62,27.22,23.77
653190,0.1537,0.2093,0.1792,0.2664,0.1293,0.163
6210,162.1,170.4,169.6,180.3,170.8,181.8
23204,110.3,87.39,75.88,73.55,82.09,98.27
23049,10.57,8.809,11.31,9.801,9.47,9.711
107984844,0.8564,0.6457,0.9117,0.7311,0.8492,0.6241
79905,0.8413,0.8965,0.8834,0.7125,0.6545,0.8761
102723385,0.9959,1.081,1.223,1.079,1.353,0.7507
10229,10.17,9.853,9.758,9.045,9.978,9.418
162073,0.9622,1.027,1.124,1.739,1.169,1.61
51760,0.3546,0.3226,0.9734,1.043,0.6125,0.7269
105371114,0.03226,0.04797,0.03778,0.05302,0.05362,0.01724
728276,0,0.008972,0.0167,0.313,0.008148,0.1886
105371113,0,0.01425,0.01326,0.01462,0.01294,0
79838,0.03397,0.03886,0.04701,0.1196,0.06705,0.07564
51573,19.34,20.11,16.79,21.07,18.54,18.72
9738,5.454,4.873,4.905,4.428,4.091,5.403
57020,17.16,16.17,17.02,16.56,15.64,16.22
400506,4.759,4.667,4.932,4.65,4.485,4.533
124152,2.89,2.756,3.634,2.752,2.806,3.031
105371115,0.01693,0.05164,0.07209,0.01987,0,0.02011
51704,6.312,5.768,12.28,6.369,6.909,6.072
105371116,0,0,0,0,0,0
105371117,0.04992,0,0,0,0,0
124274,0.1269,0.1162,0.3649,0.4024,0.2638,0.294
102723396,0,0,0,0,0,0
2813,0,0,0,0,0,0
7369,0,0,0,0,0,0
204474,0,0,0.009856,0,0,0
54988,0.01271,0,0,0.02238,0.0198,0.01698
105371119,0,0,0,0,0,0
123876,0,0,0,0,0,0
348158,0.005665,0.00648,0,0,0,0
105371120,0,0,0,0,0,0
107984831,0.02278,0.03909,0.02425,0.01337,0,0.04059
116285,0.01478,0.02536,0.01573,0.004337,0,0.01316
105379461,0,0,0,0.1846,0,0
55623,9.266,8.446,7.278,7.767,8.104,9.428
6296,0.1354,0.1264,0.09484,0.1924,0.1555,0.2031
112479,1.443,1.075,1.082,1.154,1.238,1.417
81691,5.736,6.069,4.665,3.82,4.673,4.689
105371121,1.984,2.196,1.703,1.428,1.729,1.71
123879,11.28,11.09,8.773,8.053,9,9.193
57149,13.13,13.13,11.13,10.92,11.66,11.61
55567,0.01761,0.01704,0.01731,0.01908,0.02392,0.02293
107984888,0.01742,0.0598,0.05565,0,0.0181,0.01552
